,Name,Address,Website,Phone,Rating,Reviews
44,Sterling Glenwood Apartments," 3939 Glenwood Ave, Raleigh, NC 27612",sterlingglenwood.com,(844) 416-2117,3.8,38.0
45,Carolyn Apartments," 1530 Varsity Dr, Raleigh, NC 27606",,,,
46,Tryon Grove Apartments," 2508 Tryon Grove Dr, Raleigh, NC 27603",dhic.org,(919) 832-0949,3.8,5.0
47,Cortland Midtown East," 2601 Noblewood Cir, Raleigh, NC 27604",cortland.com,(919) 755-8993,4.5,135.0
48,Greystar," 841 Handsworth Ln, Raleigh, NC 27607",greystar.com,(919) 859-8190,,
49,Dartmouth North Hills Apartments," 104 Dartmouth Rd, Raleigh, NC 27609",dartmouthapts.com,(919) 827-8476,4.6,54.0
50,Brentmoor Apartments," 2080 Brentmoor Dr, Raleigh, NC 27604",brentmoor-apartments.com,(919) 431-9898,3.5,72.0
51,Wedgwood Apartments," 740 Smallwood Dr #17, Raleigh, NC 27605",wedgwoodapts.com,(919) 839-2218,5.0,2.0
52,Gateway Park Apt. 108," 730 Gateway Park Dr Apt. 108, Raleigh, NC 27601",,,,
53,Oak City Apartments," 3131 Calvary Dr, Raleigh, NC 27604",oakcityapartments.com,(919) 790-9171,3.5,74.0
54,The Parke at Trinity Apartment Homes," 5301 Creek Ridge Ln, Raleigh, NC 27607",theparkeattrinity.com,(919) 372-4964,3.0,166.0
55,Lenoxplace at Garner Station Apartment Homes," 1100 Lenoxplace Cir, Raleigh, NC 27603",livinglenox.com,(919) 771-2511,2.3,35.0
56,Grosvenor Gardens Apartments," 1101 Hillsborough St, Raleigh, NC 27603",vgmurrayandcompany.com,,,
57,Grand Arbor Reserve Apartment Homes," 2419 Wycliff Rd, Raleigh, NC 27607",grandarborreserve.com,(919) 726-3947,2.4,121.0
58,Wynwood Place Apartments," 801 Vardaman St, Raleigh, NC 27610",wynwoodplaceraleigh.com,(844) 861-7083,,
59,Anderson Flats Apartments," 2841 Manorcrest Ct, Raleigh, NC 27609",andersonflats.com,(855) 976-4562,4.4,116.0
60,Cameron Hills Apartments," 2327 Grant Ave, Raleigh, NC 27608",cameronhillsapts.com,(833) 751-6992,3.0,24.0
61,Tree Top Apartments," 1328 Steinbeck Dr, Raleigh, NC 27609",treetopraleigh.com,(919) 876-1699,3.7,45.0
62,Trinity Properties Apartments," 2716 Brigadoon Dr, Raleigh, NC 27606",trinitypropertiesapartments.com,(919) 851-8309,4.3,91.0
63,Centerview at Crossroads Apartments," 1310 Silver Sage Dr, Raleigh, NC 27606",centerviewatcrossroads.com,(919) 514-1239,3.7,59.0
64,Creekside at Crabtree Apartments," 4700 Riverwood Cir, Raleigh, NC 27612",creeksideatcrabtree.com,(919) 694-1700,4.5,186.0
65,The Dakota Apartments," 1201 Pine Haven Dr, Raleigh, NC 27607",thedakotaraleigh.com,(984) 223-4642,4.1,89.0
66,Garden Springs Apartments," 2830 Kidd Rd, Raleigh, NC 27610",,,,
67,Brentwood West Apartments," 3831 Brentwood Rd, Raleigh, NC 27604",brentwoodwestapartments.com,(919) 876-8666,2.8,46.0
68,Milburnie Road Apartments," 901 Sawpit Dr, Raleigh, NC 27610",milburnieroad.com,(919) 828-4958,4.0,4.0
69,Montecito Apartments," 3800-2 Colby Dr, Raleigh, NC 27609",montecito-apartments.com,(919) 876-3468,3.6,43.0
70,712 Tucker Apartments," 712 Tucker St, Raleigh, NC 27603",712tucker.com,(919) 803-0492,3.1,37.0
71,St. Mary's Square Apartments," 600 St Marys St, Raleigh, NC 27605",cr-stmaryssquareapts.com,(919) 831-2727,4.8,32.0
72,Green Meadows Apartments," 4219 Brockton Dr, Raleigh, NC 27604",greenmeadowsapartments.com,(919) 876-1251,2.8,5.0
73,Sunnybrook Pointe Apartment Homes," 3301 Sungrove Ln, Raleigh, NC 27610",sunnybrookpointeapts.com,(984) 200-5742,4.6,8.0
74,Legends Cary Towne," 442 Jefferson Town Rd, Raleigh, NC 27606",legendscarytowne.com,(919) 233-1104,4.4,80.0
75,Magnolia House Apartments," 2100 McAndrew Dr, Raleigh, NC 27610",sumerlynraleigh.com,(919) 758-8227,2.9,35.0
76,Camden Manor Park Apartments," 4000 Manor Club Dr, Raleigh, NC 27612",camdenliving.com,(919) 468-5877,4.3,119.0
77,Wynsum Townhomes," 2292 Fox Ridge Manor Rd, Raleigh, NC 27610",wynsumtownhomes.com,(919) 803-4478,4.3,60.0
78,West Oaks Apartments," 705 Flavion Dr, Raleigh, NC 27608",upmapartments.com,(919) 834-5640,5.0,2.0
79,Park & Market Apartments," 141 Park at N Hills St, Raleigh, NC 27609",parkandmarket.com,(919) 737-2560,4.4,94.0
80,Hue," 300 W Hargett St, Raleigh, NC 27601",maac.com,(919) 755-5005,3.8,35.0
81,Manor Six Forks," 900 E Six Forks Rd, Raleigh, NC 27604",manorsixforks.com,(919) 679-9557,4.0,73.0
82,Cedar Crest Apartments," 2821 Laodicea Dr, Raleigh, NC 27610",,,,
83,Brookside Apartments," 1406 Brookside Dr, Raleigh, NC 27604",brookside-raleigh.com,(919) 821-5525,3.0,5.0
84,South Ridge Apartment Building," 1703 Curtis Dr apt a, Raleigh, NC 27610",,,,
85,Remington Place Apartments," 1909 Eyrie Court&nbsp, Raleigh, NC 27606",remingtonplaceraleigh.com,(919) 851-2211,3.7,23.0
86,Midtown Green Apartments," 201 Park at N Hills St, Raleigh, NC 27609",midtowngreenapartments.com,(919) 784-9165,4.4,19.0
87,Allister North Hills," 430 Allister Dr Suite 115, Raleigh, NC 27609",allisternorthhills.com,(855) 203-4820,4.7,156.0
88,North Hills at Town Center," 4625 Millbrook Green Dr, Raleigh, NC 27604",northhillstowncenter.com,(855) 969-4039,3.0,82.0
89,The L Downtown Raleigh Apartments," 205 W Davie St, Raleigh, NC 27601",thelapartments.com,(919) 615-3006,,
90,927 West Morgan," 927 W Morgan St, Raleigh, NC 27603",927westmorgan.com,(844) 455-6241,3.6,52.0
91,Jeffries Ridge Apartments," Lightner Ln, Raleigh, NC 27610",dhic.org,(919) 231-3470,4.6,7.0
92,Sumerlyn Apartments," 3021 Ogilvy Ct, Raleigh, NC 27601",,,,
93,Jones Grant Luxury Apartments," 1040 Wake Towne Dr, Raleigh, NC 27609",jonesgrant.com,(855) 600-8003,3.8,52.0
94,Hamilton Ridge Apartment Homes," 4901 Tall Timber Dr, Raleigh, NC 27612",hamiltonridgeapt.com,(844) 412-0580,3.8,34.0
95,Sojourn Glenwood Place Apartments," 3710 Exchange Glenwood Place Suite 1000, Raleigh, NC 27612",sojournglenwoodplace.com,(919) 791-3600,4.0,57.0
96,Pine Knoll Apartments," 2505 Avent Ferry Rd, Raleigh, NC 27606",pineknollraleigh.com,(919) 787-9375,3.4,11.0
97,Camden Asbury Village Apartments," 841 Handsworth Ln, Raleigh, NC 27607",camdenliving.com,(919) 851-4887,4.3,105.0
98,Cedar Moor Apartments," 2410 Melvid Ct, Raleigh, NC 27610",atlantichousing.org,(919) 231-9596,4.1,31.0
99,Cosmo & Lewis Apartments," 1121-102 Hadley Rd, Raleigh, NC 27610",,,,
100,ForRent.com," 3725 National Dr #214, Raleigh, NC 27612",raleigh.forrent.com,,,
101,Marlowe Lake Boone Apartments," 1731 Tupelo Hill Ln, Raleigh, NC 27607",themarlowelakeboone.com,(919) 344-0768,3.5,47.0
102,SkyHouse Raleigh," 308 S Blount St, Raleigh, NC 27601",skyhouseraleigh.com,(855) 214-1579,4.5,78.0
103,Concord Apartments," 3920 Knickerbocker Pkwy, Raleigh, NC 27612",livewellconcord.com,(919) 571-7143,3.7,49.0
104,Moses Court Apartment Homes," 900 Moses Ct, Raleigh, NC 27604",taftrentalsnc.com,(252) 689-6676,3.0,2.0
105,Crystal Cove Apartments," 815 Suffolk Blvd # A, Raleigh, NC 27603",,,,
106,Summit Avent Ferry Apartments," 1025 Avent Hill, Raleigh, NC 27606",summitaventferry.com,(919) 925-2531,3.1,76.0
107,The Metropolitan Apartments," 314 W Jones St, Raleigh, NC 27603",metropolitanraleigh.com,(984) 232-8126,4.8,100.0
108,Walnut Woods Apartments," 3417 Middle Branch Rd, Raleigh, NC 27610",,,,
109,Carriage House Apartments," 116 St Marys St, Raleigh, NC 27605",,,,
110,The Wilmont," 3200 Hillsborough St, Raleigh, NC 27607",thewilmont.com,(919) 342-4732,4.6,30.0
111,Loch Raven Pointe Apartments & Townhomes," 5811 Loch Raven Pointe Loop, Raleigh, NC 27604",lochravenpointe.com,(919) 295-1311,4.2,37.0
112,Raleigh Inter-Church Housing," 555 Method Rd, Raleigh, NC 27607",,,,
113,Meadow Wood Park Apartments," 2810 Bedford Ave, Raleigh, NC 27607",,,,
114,Spanish Trace Apartments," 3020 Spanish Ct, Raleigh, NC 27607",spanishtraceapts.com,(919) 828-7903,4.7,3.0
115,Rhyne's Gate Apartments," 1110 McKimmon View Ct, Raleigh, NC 27606",rhynesgate.com,(919) 256-2878,3.3,4.0
116,Meadow Creek Commons LLC," 1601 Royal Pines Dr, Raleigh, NC 27610",dhic.org,(919) 212-8778,5.0,1.0
117,The Waverly Apartments," 3211 Pridwen Cir, Raleigh, NC 27610",thewaverlyapts.com,(919) 250-9283,3.0,40.0
118,Willowwood Apartments," 2814 Oberry St, Raleigh, NC 27607",willowwoodapts.com,,,
119,The Franklin at Crossroads Apartments," 6010 Attleboro Dr, Raleigh, NC 27606",thefranklinatcrossroads.com,(919) 629-9309,4.1,56.0
120,Lassiter North Hills," 4209 Lassiter Mill Rd, Raleigh, NC 27609",lassiternorthhills.com,(833) 806-5934,3.6,34.0
121,University Village at 2505," 2505 Red Lodge Pl, Raleigh, NC 27603",uv2505.com,(919) 594-6701,3.1,94.0
122,University Suites," 2190 Ocean Reef Pl, Raleigh, NC 27603",usuitesraleigh.com,(919) 249-0218,3.4,56.0
123,Marquis on Edwards Mill," 3301 Cotton Mill Dr, Raleigh, NC 27612",cwsapartments.com,(888) 228-1380,4.5,67.0
124,Lexington Farms Apartments," 3409 Mill Tree Rd, Raleigh, NC 27612",lexingtonfarmsraleigh.com,(919) 787-9270,3.3,48.0
125,Historic Boylan Apartments," 817 Hillsborough St, Raleigh, NC 27603",boylanapartments.com,(833) 321-1644,4.4,23.0
126,Montecito West," 1313-1 Hardimont Rd, Raleigh, NC 27609",montecitowestapartments.com,(919) 876-6300,3.7,27.0
127,Williams Apartment," 1009 Avent Hill, Raleigh, NC 27606",,,,
128,Peace Raleigh Apartments," 417 W Peace St, Raleigh, NC 27603",peaceraleighapartments.com,(877) 274-8078,5.0,27.0
129,Central on the Green Apartment Homes," 2904 Calvary Dr, Raleigh, NC 27604",centralonthegreen.com,(919) 729-5146,3.7,85.0
130,800 St Marys Apartments," 800 St Marys St, Raleigh, NC 27605",live800stmarys.com,(314) 526-0864,5.0,3.0
131,Pinnacle Apartments," 5020 Edwards Mill Rd, Raleigh, NC 27612",pinnacleraleigh.com,(919) 781-0001,4.7,9.0
132,Leigh House," 2421 Landmark Dr, Raleigh, NC 27607",leighhouseapts.com,(970) 499-1157,4.5,29.0
133,Overture Centennial," 600 Bilyeu St, Raleigh, NC 27606",liveoverture.com,(919) 928-5552,4.0,2.0
134,The Ashborough Apartments," 5406 Viewcrest Way, Raleigh, NC 27606",ashborough.net,(919) 233-3525,3.9,88.0
135,Shellbrook Apartments," 910 Shellbrook Court, Raleigh, NC 27609",shellbrookapartments.com,(919) 782-7734,4.4,35.0
136,Capital Apartments," 127 New Bern Pl, Raleigh, NC 27601",,,,
137,Smithdale Apartments," 602 Smithdale Dr, Raleigh, NC 27606",,,,
138,The Oaks Student Apartments," Meredith College St, Raleigh, NC 27607",,,,
139,Pine Hills Apartments," 1650 Royal Pines Dr, Raleigh, NC 27610",,,,
140,Elders Peak Apartments," 2917 Creech Rd, Raleigh, NC 27610",,,,
141,Regency Park Apartment Homes," 4612 Dansey Dr, Raleigh, NC 27616",regencyparkraleigh.com,(919) 891-6563,3.1,65.0
142,Village of New Hope," 4321 Grandiflora Ln, Raleigh, NC 27604",evergreenconstructionco.com,(919) 212-6880,4.3,4.0
143,The Dillon," 401 W Hargett St, Raleigh, NC 27603",livedillonraleigh.com,(919) 334-6667,4.8,91.0
144,Gorman Place," 1822 Gorman St, Raleigh, NC 27606",,,,
145,Northstone Apartments," 4021 Northstone Dr, Raleigh, NC 27604",northstone-apts.com,(919) 250-0042,3.3,16.0
146,The Franklin Apartment Complex," 4000 Philadelphia St, Raleigh, NC 27606",thefranklinatcrossroads.com,,,
147,Sumter Square Apartments," 613 Charleston Rd, Raleigh, NC 27606",sumtersquareapartments.com,(919) 851-3343,3.3,64.0
148,Oak Hill Apartments Inc," 3310 & 3311 Sun Hill Ln, Raleigh, NC 27605",,,,
149,Marq at Crabtree," 4451 Vilana Ridge, Raleigh, NC 27612",cwsapartments.com,(888) 226-0386,3.9,63.0
150,Magnolias Apartments," 2151 Glascock St, Raleigh, NC 27610",,,,
151,apartments in raleigh nc | regency park," 4612 Dansey Dr, Raleigh, NC 27616",regencyparkraleigh.com,(866) 388-3851,1.0,1.0
152,Shamrock Apartments," 740 Smallwood Dr #17, Raleigh, NC 27605",shamrock-apartments.com,(919) 839-2218,,
153,109 Park," 109 Park Ave, Raleigh, NC 27605",liveonhillsborough.com,(919) 594-6250,3.1,47.0
154,Camden Asbury Village," 841 Handsworth Ln, Raleigh, NC 27607",camdenliving.com,(919) 851-4887,5.0,1.0
155,Glenbrook Crossing Apartments," 336 Dacian Rd, Raleigh, NC 27610",dhic.org,(919) 390-0098,4.3,3.0
156,Colonial Grand at Trinity Commons," 1140 Trinity Pine Ln, Raleigh, NC 27607",maac.com,(919) 233-7475,2.3,88.0
157,Roanoke Commons Club Plz Apartments," 2911 Madelyn Watson Ln, Raleigh, NC 27610",,,,
158,Walnut Terrace," 1256 McCauley St, Raleigh, NC 27601",walnutnc.com,(919) 508-1237,3.9,33.0
159,Parkside Five Points Townhomes," 2609 McNeil St, Raleigh, NC 27608",parksidefivepoints.com,(919) 249-7990,4.3,20.0
160,Pines of Ashton Apartments," 3105 Holston Ln, Raleigh, NC 27610",gscapts.com,(877) 202-7156,3.3,296.0
161,Campus Crossings at Raleigh," 3101 Compatible Way, Raleigh, NC 27603",liveatraleigh.com,(919) 249-0299,2.8,172.0
162,ARIUM Trailwood," 3004 Dorner Cir, Raleigh, NC 27606",ariumliving.com,(984) 789-4721,3.7,79.0
163,University Woods," 2000 University Woods Rd, Raleigh, NC 27603",isleepwith.com,(919) 835-7835,2.6,21.0
164,401 Oberlin," 401 Oberlin Rd, Raleigh, NC 27605",401oberlin.com,(919) 679-1404,3.9,60.0
165,Centennial Village," 2450 Centennial Ridge Way, Raleigh, NC 27603",centennialhousing.com,(919) 648-1409,3.1,19.0
166,Bacarra Apartments," Raleigh, NC 27606",,,,
167,Hunter's Run Apartments," 5801 Blacksmith Dr, Raleigh, NC 27606",huntersrunraleigh.com,(844) 330-1938,2.7,43.0
168,Emerson Glen Apartments," 2904 Tryon Rd, Raleigh, NC 27603",cmc-nc.com,(919) 803-3303,4.3,25.0
169,Brickettwood Apartments," 2105 North Hills Dr, Raleigh, NC 27612",,,,
170,Bacarra Apartments," 6210 Canary, Laurel Falls Ln, Raleigh, NC 27606",,,,
171,Enclave at Crossroads Apartments," 5454 Crossroads Crest Way, Raleigh, NC 27606",enclaveatcrossroads.com,(919) 827-1869,4.1,45.0
172,University Glen," 1430-1440 Collegeview Ave, Raleigh, NC 27606",,,,
173,Den On Varsity," 1531 Crest Rd #28, Raleigh, NC 27606",denonvarsityapartments.com,(919) 886-0480,3.6,9.0
174,The Vue," 1520 Atria Cir, Raleigh, NC 27604",liveatvue64.com,,,
175,Oberlin Court Apartments," 1009 Wade Ave, Raleigh, NC 27605",oberlincourt.com,(919) 755-3665,4.0,37.0
176,The Tribute," 1300 Tribute Center Drive, Raleigh, NC 27612",tributenc.com,(919) 551-5125,3.7,42.0
177,Stanhope Student Apartments," 3001-114 Hillsborough St, Raleigh, NC 27607",livestanhope.com,(919) 344-0871,4.3,198.0
178,ARIUM Lake Johnson," 3201 Walnut Creek Pkwy, Raleigh, NC 27606",ariumliving.com,(984) 237-2541,3.0,162.0
179,Suite Home Home," 300 W Hargett St, Raleigh, NC 27601",,,,
180,Mayview Apartments," 2126 Mayview Rd, Raleigh, NC 27607",,,,
181,Mission Capital Crossing Apartments," 4722 Dansey Dr, Raleigh, NC 27616",missioncapitalcrossing.com,(919) 634-6605,3.3,205.0
182,Midtown Crossing Apartments," 317 Lynn Rd, Raleigh, NC 27609",midtowncrossingapts.com,(919) 928-5560,4.5,46.0
183,Richmond Hills Apartments," 2251 Charles Dr, Raleigh, NC 27612",rentrichmondhills.com,(919) 803-5936,3.8,4.0
184,Murphey School Apartments," 443 N Person St, Raleigh, NC 27601",dhic.org,(919) 831-1072,,
185,Spring Forest Apartments," 5014 Sedgewick Dr, Raleigh, NC 27616",liveatspringforest.com,(984) 459-7319,3.4,134.0
186,Hillsborough Pond Apartments," 331 Oak Run Dr, Raleigh, NC 27606",3pointsproperties.com,(919) 803-0823,3.2,6.0
187,Building 310 Bacarra Apartments," 310 Cranbrook Hill Dr, Raleigh, NC 27606",,,,
188,Millbrook Apartment Homes," 2121 Paces Forest Ct, Raleigh, NC 27612",millbrook-apts.com,(919) 783-5430,2.4,38.0
189,Berkshire Cameron Village," 2128 Clark Ave, Raleigh, NC 27605",berkshirecameronvillage.com,(919) 839-6210,4.1,65.0
190,Clairmont at Trinity Apartments," 1601 Medlin Creek Loop, Raleigh, NC 27607",clairmontattrinity.com,(919) 258-2015,,
191,The College Inn," 2717 Western Blvd, Raleigh, NC 27606",thecollegeinnraleigh.com,(919) 832-8383,3.7,111.0
192,Centennial Ridge," 2450 Centennial Ridge Way, Raleigh, NC 27603",centennialhousing.com,(919) 249-6491,3.2,70.0
193,Regency Place Apartments," 6210 St Regis Cir, Raleigh, NC 27606",regencyplaceaptsraleigh.com,(833) 565-0159,3.5,72.0
194,Pine Winds Apartments," 1301 Pinewinds Dr, Raleigh, NC 27603",pinewindsapts.com,(919) 779-3300,3.5,46.0
195,Washington Terrace Apartments," 1951 Booker Dr, Raleigh, NC 27610",,,,
196,Live on Hillsborough," 2811 Hillsborough St, Raleigh, NC 27607",liveonhillsborough.com,(919) 594-6250,3.8,82.0
197,LATITUDE on Hillsborough," 5701 Hillsborough St, Raleigh, NC 27606",latitudeonhillsborough.com,(984) 221-1713,2.6,31.0
198,Avonlea Apartments," 5005 Cape Breton Dr, Raleigh, NC 27616",dhic.org,(919) 876-8345,4.0,4.0
199,Hanover Lake Boone," 4131 Briargrove Circle, Raleigh, NC 27607",hanoverlakeboone.com,(919) 335-9473,4.9,51.0
200,Magnolia," 511East Martin Street, Raleigh, NC 27601",,,,
201,The Grove," 3926 Marcom St, Raleigh, NC 27606",,,,
202,213 North Bloodworth Apartments," 213 N Bloodworth St, Raleigh, NC 27601",213nbloodworth.com,(919) 808-5321,,
203,Bacarra Apartments phase 2," 6500 Calaridge Lane Apartment 107, Raleigh, NC 27606",,,,
204,Legacy at Six Forks," 6317 Shanda Dr, Raleigh, NC 27609",sixforksapts.com,(919) 299-6605,3.1,90.0
205,Dutch Village Apartments," 149 Jones Franklin Rd, Raleigh, NC 27606",,,,
206,Summit Apartment Builders Inc," 4000 Manor Club Dr, Raleigh, NC 27612",,,,
207,Cambridge Apartments," 6801 Chesterbrook Ct, Raleigh, NC 27615",cambridgeapartmentsnc.net,(919) 846-8274,3.5,43.0
208,Atria at Crabtree Valley," 4601 Baymar Dr, Raleigh, NC 27612",atriaatcrabtreevalley.com,(919) 849-8955,3.3,119.0
209,apartments in raleigh," nc | autumn ridge apartments, 6100 Barrowood Dr, Raleigh, NC 27612",autumnridgeapts.net,(844) 807-5779,,
210,Midtown Park," 5499 Tralee Pl, Raleigh, NC 27609",midtownparktownhomes.com,(919) 239-4591,3.9,13.0
211,Stonehenge Apartments by ARIUM," 7303 Hihenge Ct, Raleigh, NC 27615",ariumliving.com,(919) 849-5267,3.8,131.0
212,Vine North Hills," 500 St Albans Dr, Raleigh, NC 27609",vineraleigh.com,(855) 812-6430,4.9,11.0
213,Bacarra Apartments 2," 6501 glademont terrace, Raleigh, NC 27606",bacarra-apts.com,(919) 307-8563,,
214,Trifecta Serviced Apartments | Room #121," 408 E Hargett St Apt #121, Raleigh, NC 27601",guestybookings.com,(984) 220-8231,,
215,Wildwoods of Lake Johnson Apartments," 1200 Trillium Cir, Raleigh, NC 27606",wildwoodsoflakejohnson.biz,(919) 851-0900,4.7,20.0
216,Arbors at Northhills Apartments," 5825 Pointer Dr, Raleigh, NC 27609",arborcrestraleigh.com,(919) 876-9468,2.7,18.0
217,1422 Scales Apartments," 1422 Scales St, Raleigh, NC 27608",,,,
218,UNCOMMON Raleigh," 3020 Hillsborough St, Raleigh, NC 27607",uncommonraleigh.com,(919) 628-4882,4.3,20.0
219,The Dillon," 223 S West St, Raleigh, NC 27601",thedillonraleigh.com,(919) 820-9933,5.0,24.0
220,Sommerset Place Apartments," 6717 Six Forks Rd, Raleigh, NC 27615",sommersetplaceapartments.com,(919) 848-9565,2.9,50.0
221,Bridgeport Apartments," 4101 Lake Lynn Dr, Raleigh, NC 27613",bridgeportapartmentsnc.com,(919) 571-1555,4.2,89.0
222,Willow Creek North Ridge," 6615 The Lakes Dr, Raleigh, NC 27609",willowcreeknorthridge.com,(919) 847-1516,3.3,213.0
223,Thornhill Apartment Homes," 7203 Plumleaf Rd, Raleigh, NC 27613",liveatthornhillraleigh.com,(919) 571-3400,3.0,62.0
224,1422 Scales Apartments," 1422 Scales St, Raleigh, NC 27608",,,,
225,UNCOMMON Raleigh," 3020 Hillsborough St, Raleigh, NC 27607",uncommonraleigh.com,(919) 628-4882,4.3,20.0
226,Madison Glen Apartments," 6840 Madison Ridge Way, Raleigh, NC 27613",madisonglenapartments.com,(919) 785-5051,3.3,16.0
227,The Dillon," 223 S West St, Raleigh, NC 27601",thedillonraleigh.com,(919) 820-9933,5.0,24.0
228,Sommerset Place Apartments," 6717 Six Forks Rd, Raleigh, NC 27615",sommersetplaceapartments.com,(919) 848-9565,2.9,50.0
229,Bridgeport Apartments," 4101 Lake Lynn Dr, Raleigh, NC 27613",bridgeportapartmentsnc.com,(919) 571-1555,4.2,89.0
